year,team,PRFa,PHRFa,PNHRFa
2015,Seattle,0.951153853,0.976329255,0.968090008
2015,St. Louis,0.969342866,0.937862752,0.99337474
2015,Tampa Bay,0.984097788,0.97871673,0.993519347
2015,Texas,1.059977003,1.021170579,1.039946506
2015,Toronto,0.98927909,1.025424869,0.984501013
2015,Washington,1.005332851,0.981529865,1.009221315
2016,Anaheim,0.960054856,1.007360145,0.964463374
2016,Arizona,1.084213121,1.082255747,1.041848775
2016,Atlanta,1.014433851,0.908971362,1.039718954
2016,Baltimore,0.992754092,1.036317621,0.982471944
2016,Boston,1.07028473,0.985888089,1.059984376
2016,Chicago Cubs,0.974942732,0.963717515,0.990974041
2016,Chicago Sox,0.976400308,1.041932263,0.966968462
2016,Cincinnati,1.01039413,1.093169761,0.978843898
2016,Cleveland,1.069384522,1.046078282,1.041200487
2016,Colorado,1.180071068,1.127060633,1.101607078
2016,Detroit,1.003340044,1.020017635,0.996399006
2016,Houston,0.9213564,0.945042221,0.952051903
2016,Kansas City,1.040034521,0.906836056,1.06024843
2016,Los Angeles,0.934184407,0.992920439,0.947154991
2016,Miami,0.924904215,0.8837871,0.975121885
2016,Milwaukee,1.009172938,1.074653395,0.983785113
2016,Minnesota,1.023355444,1.013383407,1.014717247
2016,NY Mets,0.951715546,0.995319515,0.961346475
2016,NY Yankees,1.015505795,1.156436445,0.962565334
2016,Oakland,0.951395294,0.902424334,0.991116613
2016,Philadelphia,0.964589428,1.092809409,0.940021427
2016,Pittsburgh,0.985406532,0.916345077,1.014399879
2016,San Diego,0.980686252,0.967069208,0.994627117
2016,San Francisco,0.978910746,0.84564382,1.031041308
2016,Seattle,0.954253913,1.029822926,0.952126522
2016,St. Louis,0.969319703,0.946323338,0.991886083
2016,Tampa Bay,0.962363517,0.946360153,0.986137376
2016,Texas,1.083344096,1.039298021,1.054111812
2016,Toronto,1.024565713,1.018768818,1.014014531
2016,Washington,1.00431113,1.004489172,1.002097165
2017,Anaheim,0.968029855,0.999650934,0.972861547
2017,Arizona,1.079799848,1.067234399,1.043250376
2017,Atlanta,1.000506567,0.961970875,1.013308258
2017,Baltimore,1.011212105,1.093991385,0.977110208
2017,Boston,1.039192162,0.950256895,1.048741724
2017,Chicago Cubs,1.030362795,1.004010834,1.023884144
2017,Chicago Sox,0.98563876,1.057871296,0.967659783
2017,Cincinnati,1.020040054,1.070331171,0.992841404
2017,Cleveland,1.030210687,1.00411974,1.023722904
2017,Colorado,1.164505303,1.104791018,1.097833913
2017,Detroit,1.037241379,1.027879677,1.021580858
2017,Houston,0.925159746,0.991428015,0.938059144
2017,Kansas City,0.994070229,0.910764873,1.025132595
2017,Los Angeles,0.96424375,1.000710462,0.969210011
2017,Miami,0.906643802,0.882125264,0.960920954
2017,Milwaukee,1.052841804,1.075801909,1.018420153
2017,Minnesota,1.029677411,1.047343342,1.008774814
2017,NY Mets,0.930700779,0.934487302,0.963388711
2017,NY Yankees,1.017520606,1.130385458,0.969809279
2017,Oakland,1.000547656,0.965796454,1.012053916
2017,Philadelphia,1.013721322,1.146136905,0.960934054
2017,Pittsburgh,0.972608758,0.937293635,0.998348091
2017,San Diego,0.948925671,0.932467284,0.979873835
2017,San Francisco,0.947392296,0.827049092,1.014635013
2017,Seattle,0.954162852,0.981283422,0.967296542
2017,St. Louis,0.953658858,0.931698595,0.984194601
2017,Tampa Bay,0.960275093,0.95285301,0.982516185
2017,Texas,1.103828423,1.061724138,1.064213225
2017,Toronto,0.984433014,0.98701389,0.991298378
2017,Washington,1.021832815,1.026224837,1.009374462
2018,Anaheim,0.978463893,1.046252323,0.967270275
2018,Arizona,1.054108492,1.025886398,1.035349673
2018,Atlanta,1.042021499,0.918921988,1.05822409
2018,Baltimore,0.992524349,1.058325123,0.975155744
2018,Boston,1.043032334,0.980523901,1.040455054
2018,Chicago Cubs,1.029119888,0.994908586,1.025059211
2018,Chicago Sox,0.976098973,1.010642827,0.976863477
2018,Cincinnati,1.040447344,1.141935484,0.988074965
2018,Cleveland,1.056014561,1.017124884,1.039518385
2018,Colorado,1.13910792,1.122082228,1.072320206
2018,Detroit,0.99693903,0.979402299,1.004004375
2018,Houston,0.962308804,0.996988137,0.969735243
2018,Kansas City,1.025325042,0.932504336,1.041153772
2018,Los Angeles,0.944234368,1.016674898,0.947861518
2018,Miami,0.890145326,0.853951838,0.955523341
2018,Milwaukee,1.010699846,1.053446724,0.991805236
2018,Minnesota,1.012668059,0.988830777,1.013773483
2018,NY Mets,0.898399015,0.951559934,0.9299428
2018,NY Yankees,1.044776959,1.103360384,1.003864407
2018,Oakland,0.941955112,0.903234823,0.983072706
2018,Philadelphia,1.005254826,1.105816789,0.970404605
2018,Pittsburgh,0.954158123,0.920727828,0.987568182
2018,San Diego,0.99588558,0.969314358,1.006321242
2018,San Francisco,0.990997788,0.863825188,1.035079367
2018,Seattle,0.939152519,1.001230481,0.948635997
2018,St. Louis,0.960757351,0.933771682,0.988845895
2018,Tampa Bay,0.959432993,0.94256986,0.98493296
2018,Texas,1.14198783,1.099750473,1.081058721
2018,Toronto,0.99260221,1.033579773,0.983208245
